stop_id;historyfact;historyfactSource
IDFM:22086;"Charles de Gaulle - Etoile (doublon) est un carrefour emblématique et point nodal du métro.";"https://www.parisinfo.com/museum-monument/71303/Arc-de-Triomphe"
IDFM:22084;"George V (doublon) est à proximité de boutiques célèbres sur les Champs.";"https://en.parisinfo.com/shopping/71186/Avenue-des-Champs-Elysees"
IDFM:22085;"Concorde (doublon) est une place chargée d'histoire à Paris.";"https://en.parisinfo.com/museum-monument/71039/Place-de-la-Concorde"
IDFM:463041;"Tuileries est un jardin royal créé au XVIe siècle.";"https://en.parisinfo.com/paris-museum-monument/71199/Jardin-des-Tuileries"
IDFM:22076;"Reuilly - Diderot (doublon) est un quartier avec histoire de marchés populaires.";"https://www.parisinfo.com/"
IDFM:22077;"Porte de Vincennes (doublon) est une des portes historiques de Paris.";"https://www.paris.fr/pages/la-porte-de-vincennes-6728"
IDFM:22105;"Bérault (doublon) est situé dans une commune résidentielle.";"https://www.ville-vincennes.fr/"
IDFM:463149;"Château de Vincennes (doublon) est un important monument historique du XIIIe siècle.";"https://www.chateau-vincennes.fr/"
IDFM:22089;"Bastille (doublon) symbolise la Révolution française avec la prise de la forteresse.";"https://www.mairie-paris.fr/"
IDFM:463227;"Palais Royal - Musée du Louvre (doublon) est un palais transformé en musée célèbre.";"https://www.louvre.fr/en"
IDFM:22075;"Tuileries (doublon) est un jardin du patrimoine national.";"https://en.parisinfo.com/paris-museum-monument/71199/Jardin-des-Tuileries"
IDFM:22078;"Porte Maillot (doublon) était une porte stratégique du mur d’enceinte.";"https://archives.paris.fr/"
IDFM:463193;"La Défense (Grande Arche) (doublon) est un symbole moderne à Paris.";"https://www.culture.gouv.fr/"
